,frequency,probability,IC
GO:0046934,1,1.0047782388647711e-12,27.626254256612032
GO:0000993,2,2.0095564777295423e-12,26.93310707605209
GO:0046972,3,3.0143347165943134e-12,26.52764196794392
GO:0005225,4,4.0191129554590846e-12,26.23995989549214
GO:0031430,2,2.0095564777295423e-12,26.93310707605209
GO:0001726,11,1.1052560627512483e-11,25.228358983813663
GO:0030175,1,1.0047782388647711e-12,27.626254256612032
GO:0098821,1,1.0047782388647711e-12,27.626254256612032
GO:0010494,1,1.0047782388647711e-12,27.626254256612032
GO:0008527,8,8.038225910918169e-12,25.546812714932198
GO:0033041,4,4.0191129554590846e-12,26.23995989549214
GO:0004407,4,4.0191129554590846e-12,26.23995989549214
GO:0008324,31750,3.190170908395648e-08,17.260606252291193
GO:0033040,2,2.0095564777295423e-12,26.93310707605209
GO:0002094,1,1.0047782388647711e-12,27.626254256612032
GO:0045547,1,1.0047782388647711e-12,27.626254256612032
GO:0032437,2,2.0095564777295423e-12,26.93310707605209
GO:1990752,20,2.0095564777295423e-11,24.630521983058042
GO:1905721,1,1.0047782388647711e-12,27.626254256612032
GO:0005253,98,9.846826740874758e-11,23.041286777941462
GO:0032432,14,1.4066895344106796e-11,24.987196926996774
GO:0097649,1,1.0047782388647711e-12,27.626254256612032
GO:0030141,9,9.04300414978294e-12,25.429029679275814
GO:0099617,2,2.0095564777295423e-12,26.93310707605209
GO:0044291,2,2.0095564777295423e-12,26.93310707605209
GO:0036064,4,4.0191129554590846e-12,26.23995989549214
GO:0043296,4,4.0191129554590846e-12,26.23995989549214
GO:0031021,2,2.0095564777295423e-12,26.93310707605209
GO:0097546,2,2.0095564777295423e-12,26.93310707605209
GO:0005793,1,1.0047782388647711e-12,27.626254256612032
GO:0061630,10,1.0047782388647711e-11,25.323669163617986
GO:0046976,1,1.0047782388647711e-12,27.626254256612032
GO:0008408,4,4.0191129554590846e-12,26.23995989549214
GO:0004520,15,1.507167358297157e-11,24.918204055509822
GO:0008375,5,5.023891194323856e-12,26.016816344177933
GO:0050509,1,1.0047782388647711e-12,27.626254256612032
GO:0004659,25,2.511945597161928e-11,24.407378431743833
GO:0015171,25,2.511945597161928e-11,24.407378431743833
GO:0031514,1,1.0047782388647711e-12,27.626254256612032
GO:0004485,9,9.04300414978294e-12,25.429029679275814
GO:0090560,2,2.0095564777295423e-12,26.93310707605209
GO:1990462,1,1.0047782388647711e-12,27.626254256612032
GO:0031674,3,3.0143347165943134e-12,26.52764196794392
GO:0005615,1,1.0047782388647711e-12,27.626254256612032
GO:0003713,3,3.0143347165943134e-12,26.52764196794392
GO:0140684,1,1.0047782388647711e-12,27.626254256612032
GO:0036057,1,1.0047782388647711e-12,27.626254256612032
GO:0008135,64,6.430580728734535e-11,23.46737117325236
GO:0005250,5,5.023891194323856e-12,26.016816344177933
GO:0010485,25,2.511945597161928e-11,24.407378431743833
GO:0043998,1,1.0047782388647711e-12,27.626254256612032
